省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
天津,宁河区,2022-05-11,6,0,4,0,0,0,0
天津,宁河区,2022-05-10,6,0,4,0,0,0,0
天津,宁河区,2022-05-09,6,0,4,0,0,0,0
天津,宁河区,2022-05-08,6,0,4,0,0,0,0
天津,宁河区,2022-05-07,6,0,4,0,0,0,0
天津,宁河区,2022-05-06,6,0,4,0,0,0,0
天津,宁河区,2022-05-05,6,0,4,0,0,0,0
天津,宁河区,2022-05-04,6,0,4,0,0,0,0
天津,宁河区,2022-05-03,6,0,4,0,0,0,0
天津,宁河区,2022-05-02,6,0,4,0,0,0,0
天津,宁河区,2022-05-01,6,0,4,0,0,0,0
天津,宁河区,2022-04-30,6,0,4,0,0,0,0
天津,宁河区,2022-04-29,6,0,4,0,0,0,0
天津,宁河区,2022-04-28,6,0,4,0,0,0,0
天津,宁河区,2022-04-27,6,0,4,0,0,0,0
天津,宁河区,2022-04-26,6,0,4,0,0,0,0
天津,宁河区,2022-04-25,6,0,4,0,0,0,0
天津,宁河区,2022-04-24,6,0,4,0,0,0,0
天津,宁河区,2022-04-23,6,0,4,0,0,0,0
天津,宁河区,2022-04-22,6,0,4,0,0,0,0
天津,宁河区,2022-04-21,6,0,4,0,0,0,0
天津,宁河区,2022-04-20,6,0,4,0,0,0,0
天津,宁河区,2022-04-19,6,0,4,0,0,0,0
天津,宁河区,2022-04-18,6,0,4,0,0,0,0
天津,宁河区,2022-04-17,6,0,4,0,0,0,0
天津,宁河区,2022-04-16,6,0,4,0,0,0,0
天津,宁河区,2022-04-15,6,0,4,0,0,0,0
天津,宁河区,2022-04-14,6,0,4,0,0,0,0
天津,宁河区,2022-04-13,6,0,4,0,0,0,0
天津,宁河区,2022-04-12,6,0,4,0,0,0,0
天津,宁河区,2022-04-11,6,0,4,0,0,0,0
天津,宁河区,2022-04-10,6,0,4,0,0,0,0
天津,宁河区,2022-04-09,6,0,4,0,0,0,0
天津,宁河区,2022-04-08,6,0,4,0,0,0,0
天津,宁河区,2022-04-07,6,0,4,0,0,0,0
天津,宁河区,2022-04-06,6,0,4,0,0,0,0
天津,宁河区,2022-04-05,6,0,4,0,0,0,0
天津,宁河区,2022-04-04,6,0,4,0,0,0,0
天津,宁河区,2022-04-03,6,0,4,0,0,0,0
天津,宁河区,2022-04-02,6,0,4,0,0,0,0
天津,宁河区,2022-04-01,6,0,4,0,0,0,0
天津,宁河区,2022-03-31,6,0,4,0,0,0,0
天津,宁河区,2022-03-30,6,0,4,0,0,0,0
天津,宁河区,2022-03-29,6,0,4,0,0,0,0
天津,宁河区,2022-03-28,6,0,4,0,0,0,0
天津,宁河区,2022-03-27,6,0,4,0,0,0,0
天津,宁河区,2022-03-26,6,0,4,0,0,0,0
天津,宁河区,2022-03-25,6,0,4,0,0,0,0
天津,宁河区,2022-03-24,6,0,4,0,0,0,0
天津,宁河区,2022-03-23,6,1,4,0,0,0,0
天津,宁河区,2022-03-22,5,0,4,0,0,0,0
天津,宁河区,2022-03-21,5,0,4,0,0,0,0
天津,宁河区,2022-03-20,5,1,4,0,0,0,0
天津,宁河区,2022-03-19,4,0,4,0,0,0,0
天津,宁河区,2022-03-18,4,0,4,0,0,0,0
天津,宁河区,2022-03-17,4,0,4,0,0,0,0
天津,宁河区,2022-03-16,4,0,4,0,0,0,0
天津,宁河区,2022-03-15,4,0,4,0,0,0,0
天津,宁河区,2022-03-14,4,0,4,0,0,0,0
天津,宁河区,2022-03-13,4,0,4,0,0,0,0
天津,宁河区,2022-03-12,4,0,4,0,0,0,0
天津,宁河区,2022-03-11,4,0,4,0,0,0,0
天津,宁河区,2022-03-10,4,0,4,0,0,0,0
天津,宁河区,2022-03-09,4,0,4,0,0,0,0
天津,宁河区,2022-03-08,4,0,4,0,0,0,0
天津,宁河区,2022-03-07,4,0,4,0,0,0,0
天津,宁河区,2022-03-06,4,0,4,0,0,0,0
天津,宁河区,2022-03-05,4,0,4,0,0,0,0
天津,宁河区,2022-03-04,4,0,4,0,0,0,0
天津,宁河区,2022-03-03,4,0,4,0,0,0,0
天津,宁河区,2022-03-02,4,0,4,0,0,0,0
天津,宁河区,2022-03-01,4,0,4,0,0,0,0
天津,宁河区,2022-02-28,4,0,4,0,0,0,0
天津,宁河区,2022-02-27,4,0,4,0,0,0,0
天津,宁河区,2022-02-26,4,0,4,0,0,0,0
天津,宁河区,2022-02-25,4,0,4,0,0,0,0
天津,宁河区,2022-02-24,4,0,4,0,0,0,0
天津,宁河区,2022-02-23,4,0,4,0,0,0,0
天津,宁河区,2022-02-22,4,0,4,0,0,0,0
天津,宁河区,2022-02-21,4,0,4,0,0,0,0
天津,宁河区,2022-02-20,4,0,4,0,0,0,0
天津,宁河区,2022-02-19,4,0,4,0,0,0,0
天津,宁河区,2022-02-18,4,0,4,0,0,0,0
天津,宁河区,2022-02-17,4,0,4,0,0,0,0
天津,宁河区,2022-02-16,4,0,4,0,0,0,0
天津,宁河区,2022-02-15,4,0,4,0,0,0,0
天津,宁河区,2022-02-14,4,0,4,0,0,0,0
天津,宁河区,2022-02-13,4,0,4,0,0,0,0
天津,宁河区,2022-02-12,4,0,4,0,0,0,0
天津,宁河区,2022-02-11,4,0,4,0,0,0,0
天津,宁河区,2022-02-10,4,0,4,0,0,0,0
天津,宁河区,2022-02-09,4,0,4,0,0,0,0
天津,宁河区,2022-02-08,4,0,4,0,0,0,0
天津,宁河区,2022-02-07,4,0,4,0,0,0,0
天津,宁河区,2022-02-06,4,0,4,0,0,0,0
天津,宁河区,2022-02-05,4,0,4,0,0,0,0
天津,宁河区,2022-02-04,4,0,4,0,0,0,0
天津,宁河区,2022-02-03,4,0,4,0,0,0,0
天津,宁河区,2022-02-02,4,0,4,0,0,0,0
天津,宁河区,2022-02-01,4,0,4,0,0,0,0
天津,宁河区,2022-01-31,4,0,4,0,0,0,0
天津,宁河区,2022-01-30,4,0,4,0,0,0,0
天津,宁河区,2022-01-29,4,0,4,0,0,0,0
天津,宁河区,2022-01-28,4,0,4,0,0,0,0
天津,宁河区,2022-01-27,4,0,4,0,0,0,0
天津,宁河区,2022-01-26,4,0,4,0,0,0,0
天津,宁河区,2022-01-25,4,0,4,0,0,0,0
天津,宁河区,2022-01-24,4,0,4,0,0,0,0
天津,宁河区,2022-01-23,4,0,4,0,0,0,0
天津,宁河区,2022-01-22,4,0,4,0,0,0,0
天津,宁河区,2022-01-21,4,0,4,0,0,0,0
天津,宁河区,2022-01-20,4,0,4,0,0,0,0
天津,宁河区,2022-01-19,4,0,4,0,0,0,0
天津,宁河区,2022-01-18,4,0,4,0,0,0,0
天津,宁河区,2022-01-17,4,0,4,0,0,0,0
天津,宁河区,2022-01-16,4,0,4,0,0,0,0
天津,宁河区,2022-01-15,4,0,4,0,0,0,0
天津,宁河区,2022-01-14,4,0,4,0,0,0,0
天津,宁河区,2022-01-13,4,0,4,0,0,0,0
天津,宁河区,2022-01-12,4,0,4,0,0,0,0
天津,宁河区,2022-01-11,4,0,4,0,0,0,0
天津,宁河区,2022-01-10,4,0,4,0,0,0,0
天津,宁河区,2022-01-09,4,0,4,0,0,0,0
天津,宁河区,2022-01-08,4,0,4,0,0,0,0
天津,宁河区,2022-01-07,4,0,4,0,0,0,0
天津,宁河区,2022-01-06,4,0,4,0,0,0,0
天津,宁河区,2022-01-05,4,0,4,0,0,0,0
天津,宁河区,2022-01-04,4,0,4,0,0,0,0
天津,宁河区,2022-01-03,4,0,4,0,0,0,0
天津,宁河区,2022-01-02,4,0,4,0,0,0,0
天津,宁河区,2022-01-01,4,0,4,0,0,0,0
天津,宁河区,2021-12-31,4,0,4,0,0,0,0
天津,宁河区,2021-12-30,4,0,4,0,0,0,0
天津,宁河区,2021-12-29,4,0,4,0,0,0,0
天津,宁河区,2021-12-28,4,0,4,0,0,0,0
天津,宁河区,2021-12-27,4,0,4,0,0,0,0
天津,宁河区,2021-12-26,4,0,4,0,0,0,0
天津,宁河区,2021-12-25,4,0,4,0,0,0,0
天津,宁河区,2021-12-24,4,0,4,0,0,0,0
天津,宁河区,2021-12-23,4,0,4,0,0,0,0
天津,宁河区,2021-12-22,4,0,4,0,0,0,0
天津,宁河区,2021-12-21,4,0,4,0,0,0,0
天津,宁河区,2021-12-20,4,0,4,0,0,0,0
天津,宁河区,2021-12-19,4,0,4,0,0,0,0
天津,宁河区,2021-12-18,4,0,4,0,0,0,0
天津,宁河区,2021-12-17,4,0,4,0,0,0,0
天津,宁河区,2021-12-16,4,0,4,0,0,0,0
天津,宁河区,2021-12-15,4,0,4,0,0,0,0
天津,宁河区,2021-12-14,4,0,4,0,0,0,0
天津,宁河区,2021-12-13,4,0,4,0,0,0,0
天津,宁河区,2021-12-12,4,0,4,0,0,0,0
天津,宁河区,2021-12-11,4,0,4,0,0,0,0
天津,宁河区,2021-12-10,4,0,4,0,0,0,0
天津,宁河区,2021-12-09,4,0,4,0,0,0,0
天津,宁河区,2021-12-08,4,0,4,0,0,0,0
天津,宁河区,2021-12-07,4,0,4,0,0,0,0
天津,宁河区,2021-12-06,4,0,4,0,0,0,0
